"","gene","Cluster","membership","timepoint","z"
"10332","9111","cluster[genes]~6",0.49123744690361,"d5",-0.041456536151831
"10333","91133","cluster[genes]~1",0.388454894678057,"d5",0.652258205636975
"10334","91151","cluster[genes]~3",0.96976828442058,"d5",0.935194766599015
"10335","91156","cluster[genes]~1",0.732367939443419,"d5",1.28049431330934
"10336","9117","cluster[genes]~6",0.846592593864942,"d5",-0.909513492150403
"10337","91179","cluster[genes]~4",0.781855506669613,"d5",-0.897868809324482
"10338","9118","cluster[genes]~3",0.994344013947922,"d5",1.06311008599585
"10339","912","cluster[genes]~3",0.929668078724603,"d5",0.857998362182086
"10340","9122","cluster[genes]~4",0.571300905857737,"d5",-1.03089375769964
"10341","9124","cluster[genes]~6",0.973473485345036,"d5",-0.290165318590865
"10342","9127","cluster[genes]~4",0.57264133351489,"d5",-0.895526598424656
"10343","91316","cluster[genes]~5",0.504080685278586,"d5",0.360894764208139
"10344","9132","cluster[genes]~1",0.762698631038636,"d5",1.41704973173984
"10345","9134","cluster[genes]~4",0.908994512086556,"d5",-0.649169295993694
"10346","91351","cluster[genes]~6",0.998584990882057,"d5",-0.621604375490595
"10347","91353","cluster[genes]~2",0.494899109325797,"d5",0.608656078155294
"10348","91355","cluster[genes]~4",0.900023651251703,"d5",-0.650860529020806
"10349","91370","cluster[genes]~4",0.993023417311056,"d5",-0.832583514133325
"10350","9138","cluster[genes]~6",0.914864022221874,"d5",-0.676525633327167
"10351","91409","cluster[genes]~2",0.881874998529478,"d5",0.491391166415087
"10352","9143","cluster[genes]~3",0.999784021070035,"d5",1.08276135780845
"10353","91461","cluster[genes]~3",0.922647323193126,"d5",0.815033579834893
"10354","9148","cluster[genes]~5",0.892885844390912,"d5",-0.967375864640048
"10355","91522","cluster[genes]~5",0.996070283834297,"d5",-0.697088744520141
"10356","91526","cluster[genes]~4",0.948790961378893,"d5",-0.98624080320903
"10357","91543","cluster[genes]~4",0.5435741334481,"d5",-1.29306431645447
"10358","91548","cluster[genes]~2",0.986874466395627,"d5",0.275694483786704
"10359","91582","cluster[genes]~6",0.923817366738807,"d5",-0.841988683277516
"10360","91584","cluster[genes]~4",0.963437091562417,"d5",-1.11190828661749
"10361","91614","cluster[genes]~4",0.661205668713249,"d5",-0.968023262332691
"10362","9162","cluster[genes]~3",0.971074086457895,"d5",1.29047693844255
"10363","91624","cluster[genes]~6",0.998319735239338,"d5",-0.736753331537074
"10364","91646","cluster[genes]~3",0.523214145886322,"d5",0.612694245425968
"10365","91647","cluster[genes]~6",0.318053006705004,"d5",-1.25432520470538
"10366","9168","cluster[genes]~6",0.998567220929257,"d5",-0.488860527364788
"10367","91683","cluster[genes]~2",0.998288570901344,"d5",0.0335379361346058
"10368","917","cluster[genes]~3",0.752639010014784,"d5",0.725413430202888
"10369","9170","cluster[genes]~3",0.992583422991904,"d5",1.22614544703254
"10370","91752","cluster[genes]~5",0.475388884380636,"d5",0.160779247170408
"10371","91768","cluster[genes]~6",0.998310287371189,"d5",-0.603787417828843
"10372","9177","cluster[genes]~6",0.583381260130761,"d5",-0.770453394469299
"10373","9180","cluster[genes]~6",0.99853961118143,"d5",-0.676657224076197
"10374","9182","cluster[genes]~6",0.866733385405928,"d5",-0.655821153378356
